0,0.02499999999999999,0.45,0.4,-0.325,-0.05,-0.2,-0.2,0.25,0.45,0.8
0.375,0,0.62,0.5800000000000001,0.14,0.24,-0.02,0.24,0.1,0.5,0.38
0.65,0.14,0,-0.28,-0.2,0.68,0.4,-0.42,0.34,0.62,0.5599999999999999
-0.25,0.22,-0.3,0,0.28,-0.38,-0.38,0.46,-0.18,-0.36,-0.42
-0.375,-0.04,-0.3,0.06,0,-0.2,-0.08,0.5800000000000001,-0.46,-0.32,0.02000000000000002
0.25,0.3,0.3,0.1,-0.1,0,0.46,-0.46,-0.1,0.12,0.28
-0.1,0.4,-0.25,0.4,0,0.25,0,0.3,0.02,0.06,-0.2
0,0.05,0.05,0,0,0.05,0.05,0,0,0,-0.5599999999999999
0.6000000000000001,0.02499999999999999,0.6000000000000001,-0.5,-0.425,0.65,0.65,-0.325,0,0.46,0.5
0.5,0.175,0.375,-0.375,-0.2,0.375,0,0.35,0.05,0,0.6199999999999999
0.325,0.22,0.42,0.1,-0.16,0.1,-0.125,0.1,0.24,0.42,0
